document,requirement,change,old_text,new_text,old_text_sha256,new_text_sha256
GSP-Charter,CH-001,unchanged,"The programme shall identify this document as a Governance Working Draft until a founding adoption record identifies the adopting persons, their actual authority over programme resources and publications, the edition adopted, its effective date, and the scope of that authority.","The programme shall identify this document as a Governance Working Draft until a founding adoption record identifies the adopting persons, their actual authority over programme resources and publications, the edition adopted, its effective date, and the scope of that authority.",b4b113471a45044b84bf60ca82ec77b548548e633a60bc078bcc5a6866be327a,b4b113471a45044b84bf60ca82ec77b548548e633a60bc078bcc5a6866be327a
GSP-Charter,CH-002,unchanged,"An adoption record shall distinguish the programme's own publication authority from any claim to represent a profession, institution, community, jurisdiction, or international constituency. Each representation claim shall identify its actual mandate and limits.","An adoption record shall distinguish the programme's own publication authority from any claim to represent a profession, institution, community, jurisdiction, or international constituency. Each representation claim shall identify its actual mandate and limits.",f219c6eded1e4bc00402c676ab57f19b45d036582601e826b97c7e582bf92f0a,f219c6eded1e4bc00402c676ab57f19b45d036582601e826b97c7e582bf92f0a
GSP-Charter,CH-003,unchanged,"Each proposed programme work item shall identify the recognition or practical problem it addresses, its intended beneficiaries and affected interests, its anticipated contribution to the mission, and the evidence by which that contribution will be evaluated.","Each proposed programme work item shall identify the recognition or practical problem it addresses, its intended beneficiaries and affected interests, its anticipated contribution to the mission, and the evidence by which that contribution will be evaluated.",9414b8025747d36e49efe6f50f2901fefd0b10b4db084ae0134b43d779836778,9414b8025747d36e49efe6f50f2901fefd0b10b4db084ae0134b43d779836778
GSP-Charter,CH-004,unchanged,"Programme evaluations shall distinguish demonstrated improvements in recording, interpretation, contestation, or practical response from broader claims about restored trust, justice, or future generative capacity. A broader claim shall identify its evidence and limitations.","Programme evaluations shall distinguish demonstrated improvements in recording, interpretation, contestation, or practical response from broader claims about restored trust, justice, or future generative capacity. A broader claim shall identify its evidence and limitations.",ae7bdb83c5e5058e9a7cf7b42aa1a5ca952c868dcdf66b9663e1879c91fe4541,ae7bdb83c5e5058e9a7cf7b42aa1a5ca952c868dcdf66b9663e1879c91fe4541
GSP-Charter,CH-005,unchanged,"The programme shall examine its own classification, recording, decision, and publication practices as potential sources of exclusion, dependency, and concentrated authority. Findings and corrective decisions shall enter the programme's maintained issue record.","The programme shall examine its own classification, recording, decision, and publication practices as potential sources of exclusion, dependency, and concentrated authority. Findings and corrective decisions shall enter the programme's maintained issue record.",55f027025b364ba56dab0a54f2f743a7e8d0163cb4aee861c3f2ad364d9fb750,55f027025b364ba56dab0a54f2f743a7e8d0163cb4aee861c3f2ad364d9fb750
GSP-Charter,CH-006,unchanged,"Programme publications shall distinguish metamodel, record ontology, epistemic representation, normative assessment, jurisprudential status, institutional governance, political economy, and technical implementation wherever a requirement or claim depends on more than one of these layers.","Programme publications shall distinguish metamodel, record ontology, epistemic representation, normative assessment, jurisprudential status, institutional governance, political economy, and technical implementation wherever a requirement or claim depends on more than one of these layers.",f4fbee1d116b883ed6b08c5dee090d337db5b0fbad0f566772e6999d9b93de5b,f4fbee1d116b883ed6b08c5dee090d337db5b0fbad0f566772e6999d9b93de5b
GSP-Charter,CH-007,unchanged,"The programme shall preserve the distinction between theoretical GR concepts and scoped operational requirements. Intentional narrowing, operationalization, or departure shall identify its foundation sources, alternatives, rationale, and recorded architectural decision.","The programme shall preserve the distinction between theoretical GR concepts and scoped operational requirements. Intentional narrowing, operationalization, or departure shall identify its foundation sources, alternatives, rationale, and recorded architectural decision.",dcb49f1dda79a5ceebf3a351fcb09cbb8e68e88e01b41889c765292c51c13fce,dcb49f1dda79a5ceebf3a351fcb09cbb8e68e88e01b41889c765292c51c13fce
GSP-Charter,CH-008,unchanged,"Programme publications and public claims shall not present technical conformance, authentic provenance, a programme decision, or a recorded institutional finding as sufficient proof of factual truth, ethical legitimacy, legal validity, or international endorsement.","Programme publications and public claims shall not present technical conformance, authentic provenance, a programme decision, or a recorded institutional finding as sufficient proof of factual truth, ethical legitimacy, legal validity, or international endorsement.",11b01097cbb89bafe5481d94179a043edf26d2deeb10b8bd1a3ab35aa912350e,11b01097cbb89bafe5481d94179a043edf26d2deeb10b8bd1a3ab35aa912350e
GSP-Charter,CH-009,unchanged,"The programme shall identify jurisdictional and institutional authority separately whenever a proposal concerns legal duties, rights, admissibility, liability, or public power. Unresolved applicability shall remain explicit.","The programme shall identify jurisdictional and institutional authority separately whenever a proposal concerns legal duties, rights, admissibility, liability, or public power. Unresolved applicability shall remain explicit.",5244027005c75f456da79f4930385395492f42970fe6240ee6c46fee01fc1f79,5244027005c75f456da79f4930385395492f42970fe6240ee6c46fee01fc1f79
GSP-Charter,CH-010,unchanged,"Each publication shall declare its class, maturity, version, responsible editor, and decision authority. Specifications, adopted Standards, policy proposals, governance documents, Technical Reports, and manuals shall retain their distinct authority.","Each publication shall declare its class, maturity, version, responsible editor, and decision authority. Specifications, adopted Standards, policy proposals, governance documents, Technical Reports, and manuals shall retain their distinct authority.",171d06664f0547fa738c31d1c1285699ce352d532b2bd77f9122aba26555ee6f,171d06664f0547fa738c31d1c1285699ce352d532b2bd77f9122aba26555ee6f
GSP-Charter,CH-011,unchanged,"The programme shall reserve the designation adopted Standard for an edition approved under its operative development procedure. A draft, schema, prototype, protocol, or technically normative Specification shall not acquire that designation through technical completion alone.","The programme shall reserve the designation adopted Standard for an edition approved under its operative development procedure. A draft, schema, prototype, protocol, or technically normative Specification shall not acquire that designation through technical completion alone.",327650800a0c2b4fc46648556b6d146cea4056a89abfd793307daaf2875d4870,327650800a0c2b4fc46648556b6d146cea4056a89abfd793307daaf2875d4870
GSP-Charter,CH-012,unchanged,"Standards-track work shall begin with a stated normative problem, scope, terminology, intended requirements, conformance subjects, and relevant constraints. A dependent Specification work item shall identify the reusable technical need that motivates it. Draft requirements and Specifications may co-evolve through pilots and review.","Standards-track work shall begin with a stated normative problem, scope, terminology, intended requirements, conformance subjects, and relevant constraints. A dependent Specification work item shall identify the reusable technical need that motivates it. Draft requirements and Specifications may co-evolve through pilots and review.",e11f7a088814f23f869b767440069f2f582aca75aded4edd0fe206200bc389b2,e11f7a088814f23f869b767440069f2f582aca75aded4edd0fe206200bc389b2
GSP-Charter,CH-013,unchanged,"A policy proposal shall identify its intended institution or class of institutions, mandate assumptions, institutional alternatives, expected effects, safeguards, and evaluation approach. Its recommendations shall not amend technical conformance requirements outside the standards-development procedure.","A policy proposal shall identify its intended institution or class of institutions, mandate assumptions, institutional alternatives, expected effects, safeguards, and evaluation approach. Its recommendations shall not amend technical conformance requirements outside the standards-development procedure.",e5d591f110c4fac1150e8139febe7af9fe9038349a749530aff5ad3c12180ed7,e5d591f110c4fac1150e8139febe7af9fe9038349a749530aff5ad3c12180ed7
GSP-Charter,CH-014,unchanged,"Formal work-item approval shall depend on the governance launch conditions in this Charter and Directives Part 1. Preliminary source research, draft preparation, synthetic examples, and technical exploration shall retain their preliminary status while those conditions remain unmet.","Formal work-item approval shall depend on the governance launch conditions in this Charter and Directives Part 1. Preliminary source research, draft preparation, synthetic examples, and technical exploration shall retain their preliminary status while those conditions remain unmet.",5c13920aec996ec4b51ed947b1248ddf072f42740149d9ce2364c7c01faf5208,5c13920aec996ec4b51ed947b1248ddf072f42740149d9ce2364c7c01faf5208
GSP-Charter,CH-015,unchanged,"The programme shall provide a documented route for interested individuals to contribute proposals and comments and to receive reasoned dispositions. Employment, institutional sponsorship, a proprietary tool account, payment, or travel shall not be a prerequisite for submitting a relevant comment.","The programme shall provide a documented route for interested individuals to contribute proposals and comments and to receive reasoned dispositions. Employment, institutional sponsorship, a proprietary tool account, payment, or travel shall not be a prerequisite for submitting a relevant comment.",14f32fb84cf58aecc602ff33daf727873b804bdbf8a3be03cd264d683f2f55d1,14f32fb84cf58aecc602ff33daf727873b804bdbf8a3be03cd264d683f2f55d1
GSP-Charter,CH-016,unchanged,"The participant register shall distinguish participation in an individual capacity from authorized institutional representation. It shall record relevant affiliations, interests, assigned roles, and any limits on a representation mandate, subject to justified protection of sensitive information.","The participant register shall distinguish participation in an individual capacity from authorized institutional representation. It shall record relevant affiliations, interests, assigned roles, and any limits on a representation mandate, subject to justified protection of sensitive information.",bb975eddb17706f54c0f281877cb102b4bbd08d02dce69e141bd8f4bd2491d04,bb975eddb17706f54c0f281877cb102b4bbd08d02dce69e141bd8f4bd2491d04
GSP-Charter,CH-017,unchanged,"For each work item, the coordinator shall identify affected interests, reviewer competence needed, known participation gaps, outreach undertaken, and feasible measures for language, disability, time-zone, connectivity, and resource barriers. Unfilled gaps shall remain visible in progression decisions.","For each work item, the coordinator shall identify affected interests, reviewer competence needed, known participation gaps, outreach undertaken, and feasible measures for language, disability, time-zone, connectivity, and resource barriers. Unfilled gaps shall remain visible in progression decisions.",f2ee5cc361362e59c1089743a464f3395cbde3aad2e612736b7c15f8c7f3096b,f2ee5cc361362e59c1089743a464f3395cbde3aad2e612736b7c15f8c7f3096b
GSP-Charter,CH-018,unchanged,The programme shall provide an asynchronous contribution route and a human-readable account of proposed substantive changes. A contribution requiring assistance with format shall be assessed for its substance after proportionate assistance or an accessible alternative has been offered.,The programme shall provide an asynchronous contribution route and a human-readable account of proposed substantive changes. A contribution requiring assistance with format shall be assessed for its substance after proportionate assistance or an accessible alternative has been offered.,87dbeaeb57cebe9d323de81d79ef01b850dd91dd725b716e8bf03bd68648db2a,87dbeaeb57cebe9d323de81d79ef01b850dd91dd725b716e8bf03bd68648db2a
GSP-Charter,CH-019,unchanged,"Funding, institutional affiliation, authorship volume, technical access, or control of repository credentials shall not by itself confer decision rights or priority in comment disposition. The decision authority shall assess whether concentrated interests or unpaid-work burdens materially limit fair consideration.","Funding, institutional affiliation, authorship volume, technical access, or control of repository credentials shall not by itself confer decision rights or priority in comment disposition. The decision authority shall assess whether concentrated interests or unpaid-work burdens materially limit fair consideration.",b769fe911d24c16613da84798164e1a2bd877c0c68813b4f6e152192aaaf00af,b769fe911d24c16613da84798164e1a2bd877c0c68813b4f6e152192aaaf00af
GSP-Charter,CH-020,unchanged,"Any restriction on participation shall state the conduct or process reason, its scope, duration or review trigger, responsible decision maker, and available challenge route. Restrictions shall not be imposed solely because a participant disputes a proposal or authoritative interpretation.","Any restriction on participation shall state the conduct or process reason, its scope, duration or review trigger, responsible decision maker, and available challenge route. Restrictions shall not be imposed solely because a participant disputes a proposal or authoritative interpretation.",27ec3d477ee29f3c505f0d73211ae803595b3e82e50dccefd9e72f13ae877267,27ec3d477ee29f3c505f0d73211ae803595b3e82e50dccefd9e72f13ae877267
GSP-Charter,CH-021,unchanged,"An appointment shall identify the person, appointing authority, accepted mandate, decision limits, relevant interests, start date, term or review date, alternate or vacancy arrangement, and removal or replacement procedure. An office shall not be treated as staffed until acceptance is recorded.","An appointment shall identify the person, appointing authority, accepted mandate, decision limits, relevant interests, start date, term or review date, alternate or vacancy arrangement, and removal or replacement procedure. An office shall not be treated as staffed until acceptance is recorded.",bad1515171330a56fe296b1da199a560754a20fdfae8f211eab8e9cc001e3c89,bad1515171330a56fe296b1da199a560754a20fdfae8f211eab8e9cc001e3c89
GSP-Charter,CH-022,unchanged,"The programme decision authority shall publish reasons for appointments, renewals, and removals at a level compatible with necessary protection. A challenged appointment or removal shall have access to neutral procedural review under Directives Part 1.","The programme decision authority shall publish reasons for appointments, renewals, and removals at a level compatible with necessary protection. A challenged appointment or removal shall have access to neutral procedural review under Directives Part 1.",5847d8399c205287748b7f9c517150721353385a89f15100436c07e7dfd21f9f,5847d8399c205287748b7f9c517150721353385a89f15100436c07e7dfd21f9f
GSP-Charter,CH-023,unchanged,"Where one person holds multiple functions, each decision record shall identify the capacity exercised and any resulting conflict. A person shall not conduct the neutral review of their own challenged decision.","Where one person holds multiple functions, each decision record shall identify the capacity exercised and any resulting conflict. A person shall not conduct the neutral review of their own challenged decision.",f85559f2e2beb69db458451c757c4d113761a1cdcd7c9f52dd5b3604b006257c,f85559f2e2beb69db458451c757c4d113761a1cdcd7c9f52dd5b3604b006257c
GSP-Charter,CH-024,unchanged,"The programme shall not delegate a decision to an automated system. AI-assisted drafting, summarization, analysis, or validation shall retain an accountable human role responsible for checking the resulting material and recording consequential use.","The programme shall not delegate a decision to an automated system. AI-assisted drafting, summarization, analysis, or validation shall retain an accountable human role responsible for checking the resulting material and recording consequential use.",0d420348676e0fbccae9a56fefcecf2f38d58654d8d5f24216fd4571e25c41dc,0d420348676e0fbccae9a56fefcecf2f38d58654d8d5f24216fd4571e25c41dc
GSP-Charter,CH-025,unchanged,The programme shall not exercise a delegated function while its required responsible role is vacant or recused without an authorized substitute. Unaffected preliminary work may continue with its status declared.,The programme shall not exercise a delegated function while its required responsible role is vacant or recused without an authorized substitute. Unaffected preliminary work may continue with its status declared.,c350a85ce0e45421a97dadd2e9fd46b5b1aea7caa6eef0692a2e17c8933a782e,c350a85ce0e45421a97dadd2e9fd46b5b1aea7caa6eef0692a2e17c8933a782e
GSP-Charter,CH-026,unchanged,"Each consequential progression, adoption, mandate, or appointment decision shall identify the operative procedure, authority, evidence considered, interests and recusals, alternatives, material objections, reasons, consequences, and review route.","Each consequential progression, adoption, mandate, or appointment decision shall identify the operative procedure, authority, evidence considered, interests and recusals, alternatives, material objections, reasons, consequences, and review route.",48755f74896210d2702fd2ca7113fe16d49440ed800993f72ef74c9d53fa91f3,48755f74896210d2702fd2ca7113fe16d49440ed800993f72ef74c9d53fa91f3
GSP-Charter,CH-027,unchanged,"A claim of consensus shall include evidence that relevant concerns were considered and that remaining substantial objections received reasoned treatment. Silence, elapsed time, a vote total, or lack of a funded alternative shall not alone establish consensus.","A claim of consensus shall include evidence that relevant concerns were considered and that remaining substantial objections received reasoned treatment. Silence, elapsed time, a vote total, or lack of a funded alternative shall not alone establish consensus.",7cb516951c133f1a58d3dd08eb867c07deae91d9dafbc98bc8f48373d3a78655,7cb516951c133f1a58d3dd08eb867c07deae91d9dafbc98bc8f48373d3a78655
GSP-Charter,CH-028,unchanged,"Before formal work-item initiation, the governance launch record shall identify the adopted Charter and Directives, committee mandate, ethics and contribution arrangements, public-review route, maintenance and records arrangements, accepted appointments, and an available neutral procedural review route. It shall include the results and dispositions of a governance rehearsal.","Before formal work-item initiation, the governance launch record shall identify the adopted Charter and Directives, committee mandate, ethics and contribution arrangements, public-review route, maintenance and records arrangements, accepted appointments, and an available neutral procedural review route. It shall include the results and dispositions of a governance rehearsal.",04ac2d32a7e49ebd6dd0ec5e5abdb84ccfbd9f1dae79f242edeed9ba6c78689d,04ac2d32a7e49ebd6dd0ec5e5abdb84ccfbd9f1dae79f242edeed9ba6c78689d
GSP-Charter,CH-029,unchanged,"If neutral review is unavailable for a consequential contested decision, the programme shall defer that disputed progression or adoption decision and record the capacity gap. The programme shall continue research and drafting that do not depend on the contested authority.","If neutral review is unavailable for a consequential contested decision, the programme shall defer that disputed progression or adoption decision and record the capacity gap. The programme shall continue research and drafting that do not depend on the contested authority.",14336c3181a37901e22862bed5535c8bb345200e020deecbc766e21811d9cc9b,14336c3181a37901e22862bed5535c8bb345200e020deecbc766e21811d9cc9b
